Date,State,Price
2021-07-27,Maharashtra,875.0
2021-07-28,Delhi,2336.0
2021-07-28,Karnataka,660.0
2021-07-28,Maharashtra,875.0
2021-07-29,Delhi,2036.0
2021-07-29,Karnataka,600.0
2021-07-29,Maharashtra,900.0
2021-07-30,Delhi,2052.0
2021-07-30,Karnataka,530.0
2021-07-30,Maharashtra,775.0
2021-07-31,Delhi,2018.6666666666667
2021-07-31,Karnataka,460.0
2021-07-31,Maharashtra,750.0
2021-08-01,Delhi,2000.0
2021-08-01,Karnataka,530.0
2021-08-01,Maharashtra,900.0
2021-08-02,Delhi,1950.0
2021-08-02,Karnataka,560.0
2021-08-02,Maharashtra,875.0
2021-08-03,Delhi,1592.5
2021-08-03,Karnataka,560.0
2021-08-03,Maharashtra,875.0
2021-08-04,Delhi,1594.0
2021-08-04,Karnataka,600.0
2021-08-04,Maharashtra,825.0
2021-08-05,Delhi,1698.0
2021-08-05,Maharashtra,850.0
2021-08-06,Delhi,1631.3333333333333
2021-08-06,Karnataka,530.0
2021-08-06,Maharashtra,750.0
2021-08-07,Delhi,1503.0
2021-08-07,Karnataka,600.0
2021-08-07,Maharashtra,750.0
2021-08-08,Delhi,1900.0
2021-08-08,Karnataka,630.0
2021-08-08,Maharashtra,750.0
2021-08-09,Delhi,1668.6666666666667
2021-08-09,Karnataka,660.0
2021-08-09,Maharashtra,750.0
2021-08-10,Delhi,1900.0
2021-08-10,Karnataka,600.0
2021-08-10,Maharashtra,750.0
2021-08-11,Delhi,2400.0
2021-08-11,Karnataka,670.0
2021-08-11,Maharashtra,750.0
2021-08-12,Karnataka,660.0
2021-08-12,Maharashtra,750.0
2021-08-13,Karnataka,660.0
2021-08-13,Maharashtra,400.0
2021-08-14,Delhi,1700.0
2021-08-14,Karnataka,530.0
2021-08-14,Maharashtra,500.0
2021-08-15,Delhi,1800.0
2021-08-15,Karnataka,530.0
2021-08-15,Maharashtra,600.0
2021-08-16,Delhi,1350.0
2021-08-16,Karnataka,600.0
2021-08-16,Maharashtra,600.0
2021-08-17,Delhi,1100.0
2021-08-17,Karnataka,530.0
2021-08-17,Maharashtra,625.0
2021-08-18,Karnataka,530.0
2021-08-18,Maharashtra,500.0
2021-08-19,Karnataka,530.0
2021-08-19,Maharashtra,500.0
2021-08-20,Delhi,1800.0
2021-08-20,Karnataka,530.0
2021-08-20,Maharashtra,400.0
2021-08-21,Delhi,1250.0
2021-08-21,Karnataka,530.0
2021-08-21,Maharashtra,625.0
2021-08-22,Delhi,1350.0
2021-08-22,Karnataka,530.0
2021-08-22,Maharashtra,625.0
2021-08-23,Delhi,1300.0
2021-08-23,Karnataka,530.0
2021-08-23,Maharashtra,700.0
2021-08-24,Delhi,1800.0
2021-08-24,Karnataka,660.0
2021-08-24,Maharashtra,500.0
2021-08-25,Delhi,1459.0
2021-08-25,Karnataka,700.0
2021-08-25,Maharashtra,375.0
2021-08-26,Delhi,1459.0
2021-08-26,Karnataka,600.0
2021-08-26,Maharashtra,400.0
2021-08-27,Delhi,1409.0
2021-08-27,Karnataka,600.0
2021-08-27,Maharashtra,400.0
2021-08-28,Delhi,1418.0
2021-08-28,Karnataka,530.0
2021-08-28,Maharashtra,400.0
2021-08-29,Karnataka,570.0
2021-08-29,Maharashtra,400.0
2021-08-30,Delhi,1165.0
2021-08-30,Karnataka,670.0
2021-08-31,Delhi,1404.6666666666667
2021-08-31,Karnataka,600.0
2021-08-31,Maharashtra,550.0
2021-09-01,Delhi,1800.0
2021-09-01,Karnataka,530.0
2021-09-01,Maharashtra,500.0
2021-09-02,Delhi,1800.0
2021-09-02,Karnataka,530.0
2021-09-02,Maharashtra,400.0
2021-09-03,Delhi,1404.6666666666667
2021-09-03,Karnataka,570.0
2021-09-03,Maharashtra,450.0
2021-09-04,Delhi,1498.3333333333333
2021-09-04,Karnataka,530.0
2021-09-05,Delhi,1800.0
2021-09-05,Karnataka,600.0
2021-09-05,Maharashtra,450.0
2021-09-06,Delhi,1298.3333333333333
2021-09-06,Karnataka,660.0
2021-09-06,Maharashtra,500.0
2021-09-07,Delhi,1247.5
2021-09-07,Karnataka,670.0
2021-09-07,Maharashtra,700.0
2021-09-08,Delhi,1347.5
2021-09-08,Karnataka,600.0
2021-09-08,Maharashtra,700.0
2021-09-09,Delhi,1327.0
2021-09-09,Karnataka,600.0
2021-09-09,Maharashtra,600.0
2021-09-10,Delhi,1283.0
2021-09-10,Karnataka,630.0
2021-09-10,Maharashtra,750.0
2021-09-11,Delhi,1465.6666666666667
2021-09-11,Karnataka,730.0
2021-09-11,Maharashtra,750.0
2021-09-12,Delhi,1400.0
2021-09-12,Karnataka,600.0
2021-09-12,Maharashtra,750.0
2021-09-13,Delhi,1467.5
2021-09-13,Karnataka,630.0
2021-09-13,Maharashtra,700.0
2021-09-14,Delhi,1445.0
2021-09-14,Karnataka,600.0
2021-09-15,Delhi,1367.5
2021-09-15,Karnataka,530.0
2021-09-15,Maharashtra,750.0
2021-09-16,Delhi,1545.0
2021-09-16,Karnataka,530.0
2021-09-16,Maharashtra,750.0
2021-09-17,Delhi,1377.0
2021-09-17,Karnataka,600.0
2021-09-17,Maharashtra,650.0
2021-09-18,Delhi,1551.3333333333333
2021-09-18,Karnataka,560.0
2021-09-18,Maharashtra,625.0
2021-09-19,Delhi,1550.0
2021-09-19,Karnataka,600.0
2021-09-19,Maharashtra,700.0
2021-09-20,Delhi,1509.6666666666667
2021-09-20,Karnataka,600.0
2021-09-20,Maharashtra,1000.0
2021-09-21,Delhi,1514.5
2021-09-21,Karnataka,560.0
2021-09-21,Maharashtra,1500.0
2021-09-22,Delhi,1464.5
2021-09-22,Karnataka,660.0
2021-09-22,Maharashtra,1750.0
2021-09-23,Delhi,1614.5
2021-09-23,Karnataka,800.0
2021-09-23,Maharashtra,1250.0
2021-09-24,Delhi,2037.0
2021-09-24,Karnataka,800.0
2021-09-24,Maharashtra,1250.0
2021-09-25,Delhi,2176.6666666666665
2021-09-25,Karnataka,600.0
2021-09-25,Maharashtra,1000.0
2021-09-26,Delhi,2250.0
2021-09-26,Karnataka,600.0
2021-09-26,Maharashtra,1750.0
2021-09-27,Delhi,2091.0
2021-09-27,Karnataka,630.0
2021-09-27,Maharashtra,2500.0
2021-09-28,Delhi,2087.5
2021-09-28,Karnataka,1130.0
2021-09-29,Delhi,2237.5
2021-09-29,Karnataka,1130.0
2021-09-29,Maharashtra,2500.0
2021-09-30,Delhi,2104.0
2021-09-30,Karnataka,1060.0
2021-09-30,Maharashtra,2500.0
2021-10-01,Karnataka,1000.0
2021-10-01,Maharashtra,3000.0
2021-10-02,Delhi,2600.0
2021-10-02,Karnataka,1330.0
2021-10-02,Maharashtra,3000.0
2021-10-03,Delhi,2500.0
2021-10-03,Karnataka,1400.0
2021-10-03,Maharashtra,2500.0
2021-10-04,Delhi,2600.0
2021-10-04,Karnataka,1200.0
2021-10-04,Maharashtra,2000.0
2021-10-05,Delhi,2688.5
2021-10-05,Karnataka,1260.0
2021-10-05,Maharashtra,2000.0
2021-10-06,Delhi,2938.5
2021-10-06,Karnataka,1200.0
2021-10-07,Delhi,2938.5
2021-10-07,Karnataka,1330.0
2021-10-07,Maharashtra,3000.0
2021-10-08,Delhi,3441.0
2021-10-08,Karnataka,1260.0
2021-10-09,Delhi,3307.6666666666665
2021-10-09,Karnataka,1130.0
2021-10-09,Maharashtra,2500.0
